ticker,name,sector
AJG,Arthur J. Gallagher & Co.,Financial Services
MMC,Marsh & McLennan Cos. Inc.,Financial Services
AON,Aon plc,Financial Services
CB,Chubb Ltd.,Financial Services
PGR,Progressive Corp.,Financial Services
TRV,Travelers Companies Inc.,Financial Services
ELV,Elevance Health Inc.,Healthcare
CI,Cigna Group,Healthcare
HCA,HCA Healthcare Inc.,Healthcare
IDXX,IDEXX Laboratories Inc.,Healthcare
ZTS,Zoetis Inc.,Healthcare
MCK,McKesson Corp.,Healthcare
COR,Cencora Inc.,Healthcare
WST,West Pharmaceutical Services Inc.,Healthcare
MNST,Monster Beverage Corp.,Consumer Defensive
KR,Kroger Co.,Consumer Defensive
MDLZ,Mondelez International Inc.,Consumer Defensive
GIS,General Mills Inc.,Consumer Defensive
CPB,Campbell's Co.,Consumer Defensive
DASH,DoorDash Inc.,Consumer Cyclical
CMG,Chipotle Mexican Grill Inc.,Consumer Cyclical
YUM,Yum! Brands Inc.,Consumer Cyclical
DPZ,Domino's Pizza Inc.,Consumer Cyclical
RCL,Royal Caribbean Group,Consumer Cyclical
LULU,Lululemon Athletica Inc.,Consumer Cyclical
DECK,Deckers Outdoor Corp.,Consumer Cyclical
WSM,Williams-Sonoma Inc.,Consumer Cyclical
GWW,W.W. Grainger Inc.,Industrials
WAB,Westinghouse Air Brake Technologies Corp.,Industrials
TT,Trane Technologies plc,Industrials
JCI,Johnson Controls International plc,Industrials
PCAR,PACCAR Inc.,Industrials
DAL,Delta Air Lines Inc.,Industrials
UAL,United Airlines Holdings Inc.,Industrials
LUV,Southwest Airlines Co.,Industrials
FANG,Diamondback Energy Inc.,Energy
MPC,Marathon Petroleum Corp.,Energy
VLO,Valero Energy Corp.,Energy
PSX,Phillips 66,Energy
KMI,Kinder Morgan Inc.,Energy
WMB,Williams Cos. Inc.,Energy
CEG,Constellation Energy Corp.,Utilities
VST,Vistra Corp.,Utilities
ETR,Entergy Corp.,Utilities
D,Dominion Energy Inc.,Utilities
ECL,Ecolab Inc.,Basic Materials
NUE,Nucor Corp.,Basic Materials
STLD,Steel Dynamics Inc.,Basic Materials
MLM,Martin Marietta Materials Inc.,Basic Materials
VMC,Vulcan Materials Co.,Basic Materials
DLR,Digital Realty Trust Inc.,Real Estate
PSA,Public Storage,Real Estate
EXR,Extra Space Storage Inc.,Real Estate
WELL,Welltower Inc.,Real Estate
